Need,Site_Name,type,Trap_Name,Lat,Lon,Total_Inv,Species_P_Trap,Species_P_Site,Total_Inv_P_Site,Notes,Barb_passes,PIP_passes,PYG_passes,NOC_passes,Plecotus_passes,Nath_passes,Total_Bats,Other_Bats,OID,Barb_Present,Bat_Total
1,Dino,Ringland and Weston Longville,Dino5,52.71423,1.11643,1,1,5,,,127,,,,,,375,,56,1,1
1,Dino,Ringland and Weston Longville,Dino6,52.71334,1.11611,2,1,5,,,17,,,,,,176,,57,1,1
1,Dino,Ringland and Weston Longville,Dino7,52.71218,1.11576,1,1,5,,,44,,,,,,309,,58,1,1
1,Dino,Ringland and Weston Longville,Dino8,52.71135,1.11563,2,2,5,,,132,,,,,,1215,,59,1,1
1,Ringland,Ringland and Weston Longville,Ring1,52.690784,1.14886,2,1,,,Spiders,94,,,,,,378,,60,1,1
1,Ringland,Ringland and Weston Longville,Ring2,52.69381,1.146023,0,0,,,,2,,,,,,75,,61,1,1
1,Ringland,Ringland and Weston Longville,Ring3,52.693767,1.156438,2,2,,,tick and moth,9,,,,,,311,,62,1,1
1,,Ringland and Weston Longville,C11 -,52.7018,1.158556,5,4,,,,18,,,,,,1289,,63,1,1
1,,Ringland and Weston Longville,C12 -,52.697663,1.165986,1,1,,,,2,,,,,,861,,64,1,1
1,,Random,R1 -,52.682882,1.136875,2,2,,,,2,,,,,,377,,65,1,1
1,,Random,R2 -,52.693946,1.137877,0,0,,,,1,,,,,,27,,66,1,1
1,,Random,R3 -,52.703701,1.133424,3,3,,,,4,,,,,,302,,67,1,1
1,,Ringland and Weston Longville,R7 -,52.71242,1.136621,0,0,,,,2,,,,,,687,,68,1,1
1,,Ringland and Weston Longville,R9 -,52.716754,1.11348,3,1,,,,9,,,,,,322,,69,1,1
1,,Ringland and Weston Longville,R10 -,52.707104,1.121185,0,0,,,,8,,,,,,206,,70,1,1
1,,Ringland and Weston Longville,R11 -,52.699463,1.161233,5,5,,,,0,,,,,,26,,71,0,1
